md5sum	size	simple	outskirt	width	info_round	info	dof_round	dof
b221c23107abd05c78fb79b528388a31	20	162	155	153	161	115	147	136
39a88d7ca35464566b37300a4aad6f63	15	34	42	34	35	29	33	28
35fb65750475a9ca9c072bd64fac76b6	15	52	51	47	49	31	46	38
92a2e663724fcf9a0a403b880df7691e	15	82	88	89	82	62	86	80
b6c9e0cea4825dd21c3f644ce08e90b5	10	27	30	30	28	21	26	20
185cccfa93f09fdf4029e05b997851ca	15	59	64	59	60	51	60	55
5c2d6672deb5901dc0daf2ac0e7cdcc6	15	65	60	63	61	47	59	60
8afb847a8213814c8af673fbef2f52ce	20	124	124	121	126	89	125	111
88d0114f3224dc9b1a6503c0dd26b5a1	20	129	137	130	133	106	137	132
20aee09506f781e323e0151ad809193e	20	127	125	129	129	96	120	119
3c06ce1d14e4ba45f214e703ecef76b6	20	129	116	127	122	72	113	81
c9f0156ae98490e40a13c7ce284bb5ea	20	124	124	111	127	82	123	121
c9a2896156df4a382d7e93dfa6b1eee0	20	61	65	56	49	43	48	46
db7d53a29d573c7dac472e7176d24d59	20	129	126	121	120	101	126	132
