md5sum	size	simple	outskirt	width	info_round	info	dof_round	dof
b221c23107abd05c78fb79b528388a31	20	162	155	153	161	115	147	136
39a88d7ca35464566b37300a4aad6f63	15	34	42	34	35	29	33	28
35fb65750475a9ca9c072bd64fac76b6	15	52	51	47	49	31	46	38
92a2e663724fcf9a0a403b880df7691e	15	82	88	89	82	62	86	80
b6c9e0cea4825dd21c3f644ce08e90b5	10	27	30	30	28	21	26	20
185cccfa93f09fdf4029e05b997851ca	15	59	64	59	60	51	60	55
5c2d6672deb5901dc0daf2ac0e7cdcc6	15	65	60	63	61	47	59	60
8afb847a8213814c8af673fbef2f52ce	20	124	124	121	126	89	125	111
88d0114f3224dc9b1a6503c0dd26b5a1	20	129	137	130	133	106	137	132
20aee09506f781e323e0151ad809193e	20	127	125	129	129	96	120	119
3c06ce1d14e4ba45f214e703ecef76b6	20	129	116	127	122	72	113	81
c9f0156ae98490e40a13c7ce284bb5ea	20	124	124	111	127	82	123	121
c9a2896156df4a382d7e93dfa6b1eee0	20	61	65	56	49	43	48	46
db7d53a29d573c7dac472e7176d24d59	20	129	126	121	120	101	126	132
72b70c89eed26aae5a63f476c38160cc	15	43	48	42	39	33	38	32
f979a406b73f367389a1640701b26807	15	85	75	90	82	52	80	65
7c2f4e12f42b9ece4e250e270cc21426	15	94	93	94	94	68	89	73
37dbf9e706052a671ba062266cb6c6a1	15	80	78	86	85	58	84	65
7258d8cef5390c5b09f3bb08b56144e1	10	41	36	38	38	31	35	29
96214a929f14bfe2c29b0258e4b30b6e	10	33	35	32	33	24	35	29
5ec8c1d83483b9378bda3327c5abf164	15	53	58	52	56	30	50	32
10e5076df9b012bde0b24b95f9eba9f6	15	54	49	49	52	40	52	37
749660dddc74a9f3f0aafb88d776fda1	10	49	50	48	45	41	46	41
f126bd57b19020712290cceca86fcf3b	10	29	30	29	26	23	27	19
7faa880cf2ae877ac6443f8e601bba73	10	28	30	31	30	24	29	24
f55228dc3932b091396786048e652d48	15	79	67	74	69	45	69	52
8fad4d2f038b35641da2f137c5f9fb2e	15	83	77	77	74	57	76	83
a72ecb912985ee9e3680675abbd0da33	15	72	71	72	70	49	69	72
012168ced1498eb61f9f8936ce6ad397	10	32	37	32	29	26	31	23
d5f78b1e9f4ef2091e7754896a6e5a4e	10	40	39	38	39	30	39	37
bffeef5aa5115bc0717f05120f1b5a7f	10	43	40	41	42	36	43	36
403dde8666534c12e010f863354f9b03	15	54	51	50	49	36	46	42
01e26a911eb7dae9c7eab211e12ce83b	15	49	47	47	44	39	50	46
e201861544a59f1111a8ab48e97a5af8	10	30	35	31	29	22	31	26
48d7a11e45b7c6c11c084892e55909a4	15	79	84	82	80	58	82	78
130615095efdc94c8223c9d0fbee85f2	15	75	63	83	64	46	60	57
21c7f05001b0d7c95a3c8fedbc016365	10	31	25	28	28	21	26	23
0272be1745b747ff8b745e8d1ce31b8f	10	29	31	31	29	22	30	26
38947b7a1a7f8bc505ece5099481cf68	15	64	63	64	58	39	58	39
a537755d6beac6eccf81f3e1d942964b	15	49	45	47	41	33	40	31
258f86c156dbddc20f9a9622e91176b1	15	63	65	65	63	49	56	50
0da2c92f09e07f914bebab70a60df11f	15	62	62	61	62	47	63	56
4877e114016679dde1908d7869850073	10	33	32	32	29	28	33	35
83213d3ef20a7ba1f023b0ddd212c7f9	15	55	61	58	51	37	50	49
7814a3f2a4bb95d0f8bebde3f4eaa8f9	10	33	32	32	30	20	27	22
e29423ed26120138fb041d3e2a896a49	15	59	65	66	58	49	60	57
b0c04377289fbf0acf7c13d3799f0d21	15	84	92	82	84	70	86	72
932789e41be0aa1fe2de159e769ff62e	15	103	99	94	99	63	95	90
5f6e752b11168aaf457191a42bee7311	10	35	37	28	28	23	28	25
2eeaf0fb8abf32793f86ea94bab60038	15	38	29	37	34	28	30	29
9cca61825d3a406762833b6d9fdc0061	15	44	38	40	40	30	37	40
802b48632fbf1a2d895274982f704ab3	10	20	21	26	23	21	24	23
ea562cfee576a7950411d17a609f54b7	10	20	22	25	24	19	21	19
d8296ec81c3f6dbfa19425fbc5b0102a	15	46	46	48	47	37	44	39
f965b1932842833979bb4e25dd35295b	15	58	52	50	45	29	51	47
44865318042e610f785403576befcbb4	10	29	29	27	27	19	28	21
43139e63b4be46e21fe72d58a0e1f88c	15	49	46	48	43	38	50	48
a277cbdbf4e0fe6a8ab25ab84da377ee	10	28	33	27	28	22	28	21
e38c149247becb117aa26f1eaa6ebe7f	10	32	32	30	25	22	29	23
8f27271ad80fc37cece34fce7b5d1d7b	10	28	31	23	28	20	26	19
d6a85a51e2f4ba8a2827bbbf43c87d69	10	38	42	38	37	28	36	34
34846ba4b585dff204d37d6965036d61	10	32	34	31	31	20	27	24
8f54a4d9cc0694af0ed563b67987367c	10	29	25	29	29	24	30	24
a37064b4017a6fef0c00e1a334dbdfd5	10	31	31	32	31	20	31	18
ea1ccf6f5e37daded0b9e5990071a69e	15	34	31	36	29	27	28	26
50a60c8d1213e5105e340f8983e26a4a	10	27	30	29	27	19	27	21
a9b1368bf8f29a386498e858bb27f7c7	15	56	43	53	49	39	47	44
5d603384006bf590835ce81d387a1a65	10	29	30	30	28	20	26	20
eaa0713446a7978751a7adde79320311	10	24	28	20	24	17	22	18
583beb916adad8a931f224e61cf7760a	10	33	28	29	27	20	25	24
4120681da45dce0425fbfed86e11acd2	10	26	32	26	25	16	27	19
9a967383cd11b95194cba6b3843f74d9	15	63	66	61	56	42	61	56
c215ba5b28ab3ef85171a3e8a63d30ef	10	29	35	28	27	24	31	28
5c83b09cd8005e9be248bd78cce50b7a	10	23	25	24	18	18	20	16
8c0c05b426eaf55e8c9f328bfa2b560f	15	53	46	48	49	36	51	36
fb439c32e060fcfb915c291e99ed0fd9	10	32	32	30	28	25	24	22
13725bd42c07535d3cc38f63b928af02	15	40	41	37	35	32	35	30
73ed5b4ae21b70608f5dd1084ca35b6c	10	23	24	19	15	17	19	19
af7ef3a4df7d99574c881994427b9238	15	43	48	46	42	28	44	36
500f5060f461b06a539c61b4ad4bddf2	10	27	26	24	23	19	23	17
5fcbca61065b226b4a36b1dec24ece54	15	45	40	38	36	29	36	33
1e3aab721bdaabdb1bc720663c8f59c9	10	30	29	31	29	25	28	25
4f4c9d267e738857df62f8e3a8ee17e1	10	30	32	31	31	20	32	24
daf98da7e4ea4fb608c089b8cb2fe6be	15	40	45	42	38	31	41	32
d270f57cd8222df48c8ff4d3999faf90	10	27	25	21	21	16	19	19
e1d4cd6bd6aa294d3261beb2403a0530	15	54	50	50	42	38	43	37
4f692bf261c4156f6ef67b958db5d495	10	28	26	29	29	20	29	24
c566c055877051b0d973d94667214f05	15	50	50	51	48	37	51	36
c04c8aa7a28387385a540b0b043015ca	10	29	29	26	24	16	22	18
ad49f05fb8557f4c582ccd0df4ad3d19	10	30	21	28	27	17	23	21
8cb36e46d769c5af61249711fe096b20	10	15	21	21	18	14	19	15
59530cfd707c958cc2d6f4862c701a51	10	53	49	47	49	42	46	40
608ce7aef4e4e887d3c0eecec67ef16a	10	37	30	32	32	27	31	21
85dc05ac527a01620dda6bd9cd2cddf7	10	37	33	34	35	27	33	22
